,cases
3/15/21,120228591
3/16/21,120701640
3/17/21,121241068
3/18/21,121794627
3/19/21,122356343
3/20/21,122855285
3/21/21,123278672
3/22/21,123695333
3/23/21,124209643
3/24/21,124843218
3/25/21,125494652
3/26/21,126136052
3/27/21,126720792
3/28/21,127190873
3/29/21,127649131
3/30/21,128217581
3/31/21,128900516
4/1/21,129612373
4/2/21,130246167
4/3/21,130775801
4/4/21,131328758
4/5/21,131818062
4/6/21,132422295
4/7/21,133106608
4/8/21,133946462
4/9/21,134694522
4/10/21,135359190
4/11/21,136050057
4/12/21,136666545
4/13/21,137446191
4/14/21,138263254
4/15/21,139080030
4/16/21,139934945
4/17/21,140723160
4/18/21,141408751
4/19/21,142102363
4/20/21,142956456
4/21/21,143846433
4/22/21,144746200
4/23/21,145649953
4/24/21,146471022
4/25/21,147193478
4/26/21,147876137
4/27/21,148720592
4/28/21,149626600
4/29/21,150524258
4/30/21,151403270
5/1/21,152200029
5/2/21,152874414
5/3/21,153555936
5/4/21,154363355
5/5/21,155204557
5/6/21,156074567
5/7/21,156906973
5/8/21,157692702
5/9/21,158334279
5/10/21,158956114
5/11/21,159694580
5/12/21,160454640
5/13/21,161179904
5/14/21,161897925
5/15/21,162525945
5/16/21,163074549
5/17/21,163614578
5/18/21,164237099
5/19/21,164908717
5/20/21,165188667
5/21/21,165814687
5/22/21,166392887
5/23/21,166869422
5/24/21,167323965
5/25/21,167856146
5/26/21,168424727
5/27/21,168979456
5/28/21,169479741
5/29/21,169961055
5/30/21,170352480
5/31/21,170731385
6/1/21,171195110
6/2/21,171680812
6/3/21,172169929
6/4/21,172589646
6/5/21,172988007
6/6/21,173310648
6/7/21,173631266
6/8/21,173904841
